,Risk_Category,Loan_Amount,Credit_Score,Loan_Purpose,Annual_Income,Employment_Length,Debt-to-Income_Ratio,Number_of_Open_Accounts,Number_of_Past_Due_Payments
0,high-risk,11353.0,617.0,business,54839.61,8,0.45,3,1
1,low-risk,21876.0,663.0,home improvement,59112.76,8,0.35,4,0
2,low-risk,27047.0,703.0,medical expenses,47681.4,8,0.3,5,1
3,low-risk,21286.0,704.0,debt consolidation,55967.6,8,0.35,3,1
4,low-risk,17550.0,737.0,car,56127.67,8,0.35,3,0
5,low-risk,20408.0,675.0,business,41714.8,5,0.35,4,0
6,low-risk,17356.0,650.0,business,47564.7,5,0.4,3,0
7,high-risk,16513.0,593.0,medical expenses,48751.62,5,0.5,5,2
8,low-risk,22969.0,693.0,debt consolidation,62212.06,2,0.4,4,1
9,low-risk,15747.0,696.0,business,60385.85,2,0.35,3,1
10,low-risk,22752.0,707.0,car,51389.72,3,0.3,3,0
11,low-risk,17363.0,707.0,home improvement,56597.69,3,0.3,2,0
12,low-risk,17599.0,721.0,medical expenses,55828.31,10,0.35,5,1
13,low-risk,24371.0,713.0,home improvement,52448.52,3,0.4,2,0
14,low-risk,17572.0,724.0,car,53828.99,3,0.3,3,0
15,low-risk,18944.0,717.0,business,56553.59,2,0.35,2,0
16,low-risk,21266.0,722.0,home improvement,59163.27,2,0.3,2,0
17,high-risk,15345.0,651.0,car,48110.84,2,0.45,5,1
18,high-risk,16487.0,592.0,car,49406.6,2,0.5,2,1
19,low-risk,22872.0,711.0,car,58361.07,3,0.4,3,0
20,low-risk,18900.0,709.0,business,52316.15,5,0.4,2,0
21,low-risk,20100.0,723.0,car,62379.09,5,0.4,3,0
22,low-risk,20401.0,657.0,business,56997.34,8,0.35,4,0
23,low-risk,21256.0,736.0,home improvement,60317.15,10,0.35,2,1
24,low-risk,19535.0,723.0,business,48020.58,8,0.4,5,1
25,high-risk,12827.0,544.0,car,55491.96,10,0.45,5,2
26,low-risk,22664.0,744.0,car,54904.14,5,0.35,2,1
27,low-risk,23567.0,720.0,car,57086.38,8,0.4,5,0
28,low-risk,14391.0,733.0,car,52473.83,2,0.3,3,1
29,high-risk,11983.0,571.0,home improvement,56092.81,3,0.5,2,1
30,low-risk,22227.0,702.0,debt consolidation,57483.28,8,0.4,2,0
31,low-risk,21761.0,674.0,medical expenses,50711.2,5,0.35,3,1
32,low-risk,20104.0,713.0,business,46709.9,5,0.3,2,0
33,low-risk,22161.0,743.0,home improvement,40673.75,10,0.4,3,1
34,low-risk,22723.0,699.0,home improvement,63376.36,10,0.35,5,1
35,high-risk,13300.0,597.0,business,48527.3,2,0.45,5,1
36,low-risk,19717.0,666.0,car,55649.31,5,0.35,3,1
37,high-risk,12342.0,624.0,debt consolidation,54222.63,3,0.45,3,2
38,low-risk,21205.0,695.0,debt consolidation,54813.61,2,0.3,5,0
39,high-risk,17063.0,694.0,debt consolidation,56557.82,10,0.5,4,1
40,low-risk,17433.0,676.0,home improvement,61293.96,8,0.3,3,1
41,high-risk,17442.0,641.0,car,57356.44,3,0.45,5,1
42,low-risk,17661.0,688.0,car,61097.1,2,0.35,3,0
43,low-risk,21643.0,693.0,home improvement,51971.48,3,0.35,3,0
44,low-risk,14359.0,705.0,home improvement,55716.01,8,0.35,5,1
45,low-risk,14122.0,692.0,debt consolidation,51300.68,5,0.4,3,0
46,low-risk,17066.0,696.0,home improvement,50752.26,8,0.4,3,1
47,low-risk,16736.0,711.0,debt consolidation,62757.98,5,0.35,3,0
48,low-risk,21528.0,682.0,debt consolidation,51881.67,8,0.3,5,0
49,low-risk,22481.0,707.0,home improvement,56482.84,2,0.35,2,0
50,low-risk,23873.0,723.0,medical expenses,55567.17,8,0.3,3,0
51,low-risk,17734.0,712.0,business,54885.79,10,0.3,3,1
52,low-risk,21639.0,709.0,medical expenses,6597344.37,5,0.4,2,0
